,Аудиторія,Кількість місць,Тип,проектор,Благо,тільки екран,ел. дошка,Закріплено за,Закріплено за
,201,64,Практична,+,,,,,управління та адміністрування
,202,64,Практична,+,,,,,управління та адміністрування
,203,64,Універсальна,+,,,,,управління та адміністрування
,204,64,Практична,+,,,,,права та публічного управління
,209/1,19,Комп. клас,+,,,,,
,209/2,14,Комп. клас,+,,,,,
,210к,16,Комп. клас,,,,,,управління та адміністрування
,211к,30,Комп. клас,+,,,,,
,304,72,Практична,+,,,,фаховий коледж Закладу вищої освіти `Університет Короля Данила`,
,305,72,Практична,+,,,,фаховий коледж Закладу вищої освіти `Університет Короля Данила`,
,306,72,Практична,+,,,,фаховий коледж Закладу вищої освіти `Університет Короля Данила`,
,307,64,Універсальна,+,,,+,фаховий коледж Закладу вищої освіти `Університет Короля Данила`,
,308,32,Універсальна,+,,,,фаховий коледж Закладу вищої освіти `Університет Короля Данила`,
,309,12,Універсальна,,,,,,управління та адміністрування
,310,36,Практична,+,,,,,права та публічного управління
,311,72,Практична,+,,,,фаховий коледж Закладу вищої освіти `Університет Короля Данила`,
,312,72,Практична,+,,,,фаховий коледж Закладу вищої освіти `Університет Короля Данила`,
,315,25,Спеціалізована,+,,,,,туризму та готельно-ресторанної справи
,316,35,Універсальна,+,,,,,архітектури та будівництва
,317,35,Універсальна,+,,,,,управління та адміністрування
,318,15,Універсальна,,,,,,управління та адміністрування
,319,40,Практична,+,,,,,управління та адміністрування
,319/1,35,Практична,+,,,,,управління та адміністрування
,320,35,Універсальна,+,,,,,управління та адміністрування
,321,35,Універсальна,+,,,,,управління та адміністрування
,322,15,Універсальна,,,,,,управління та адміністрування
,323,62,Практична,+,,,,фаховий коледж Закладу вищої освіти `Університет Короля Данила`,
,324,70,Практична,+,,,,,інформаційних технологій
,325,68,Практична,+,,,,фаховий коледж Закладу вищої освіти `Університет Короля Данила`,
,326,72,Практична,+,,,,фаховий коледж Закладу вищої освіти `Університет Короля Данила`,
,327/1,15,Комп. клас,+,,,,,інформаційних технологій
,327/2,15,Комп. клас,+,,,,,інформаційних технологій
,328,102,Практична,+,,,,фаховий коледж Закладу вищої освіти `Університет Короля Данила`,
,329,96,Лекційна,+,,,,,права та публічного управління
,330/1,28,Комп. клас,+,,,,,інформаційних технологій
,330/3,11,Комп. клас,,,,,,інформаційних технологій
,330/5,24,Комп. клас,+,,,,,інформаційних технологій
,330/6,15,Комп. клас,,,,,,інформаційних технологій
,331,220,Лекційна,+,,,,,права та публічного управління
,332,30,Універсальна,,,,,,
,403,24,Комп. клас,+,,,,,
,404,18,Комп. клас,+,,,,,архітектури та будівництва
,404/1,21,Комп. клас,+,,,,,архітектури та будівництва
,405,160,Практична,+,,,,,права та публічного управління
,406,160,Лекційна,+,,,,,права та публічного управління
,407,260,Лекційна,+,,,,,права та публічного управління
,408,30,Універсальна,,,,,,архітектури та будівництва
,409,24,Спеціалізована,+,,,,,права та публічного управління
,410,54,Спеціалізована,+,,,,,архітектури та будівництва
,411,80,Універсальна,+,,,,,права та публічного управління
,412,84,Лекційна,+,,,,,управління та адміністрування
,413,84,Практична,+,,,,,архітектури та будівництва
,421,16,Практична,+,,,,,
,422,28,Практична,+,,,,,
,423,28,Практична,+,,,,,
,424,30,Практична,+,,,,,
,425,32,Комп. клас,+,,,,,
,426,23,Універсальна,+,,,,,
,427,23,Практична,+,,,,,
,428,29,Практична,+,,,,,
,429,29,Практична,+,,,,,
,430,30,Практична,+,,,,,
,431,27,Практична,+,,,,,
,501,32,Практична,+,,,,,права та публічного управління
,502,32,Універсальна,,,,,,архітектури та будівництва
,503,32,Практична,+,,,,,права та публічного управління
,503/1,16,Універсальна,,,,,,архітектури та будівництва
,504,24,Спеціалізована,+,,,,,права та публічного управління
,505,32,Універсальна,+,,,,,
,506,16,Універсальна,,,,,,права та публічного управління
,506/1,14,Універсальна,,,,,,права та публічного управління
,507,20,Спеціалізована,+,,,,,архітектури та будівництва
,508,56,Спеціалізована,,,,,,архітектури та будівництва
,509,44,Спеціалізована,+,,,,,архітектури та будівництва
,510 рис.,25,Спеціалізована,,+,,,,дизайну
,511 рис.,25,Спеціалізована,,,,,,дизайну
,512,24,Лекційна,,+,,,,архітектури та будівництва
,602,10,Універсальна,,,,,,естрадно-вокального мистецтва
,602/1,1,Спеціалізована,,,,,,естрадно-вокального мистецтва
,603,1,Спеціалізована,,,,,,естрадно-вокального мистецтва
,604,1,Спеціалізована,,,,,,естрадно-вокального мистецтва
,605,1,Спеціалізована,,,,,,естрадно-вокального мистецтва
,605/1,1,Спеціалізована,,,,,,естрадно-вокального мистецтва
,606,1,Спеціалізована,,,,,,естрадно-вокального мистецтва
,606/1,1,Спеціалізована,,,,,,естрадно-вокального мистецтва
,607,12,Універсальна,,,,,,естрадно-вокального мистецтва
,609,12,Універсальна,,,,,,естрадно-вокального мистецтва
,610,24,Універсальна,,,,,,естрадно-вокального мистецтва
,конф.зал,50,Лекційна,+,,,,,
,конф.зал 4 поверх,50,Лекційна,+,,,,,
,конф.зал великий,200,Лекційна,+,,,,,
,конф.зал малий,50,Лекційна,+,,,,,
,чит.зал,32,Універсальна,,,,,,
